수행부서명,프로젝트명,시작일,종료일,포트폴리오,수주계약금액,수주부서명,고객명
네트워크IT개발팀,2023년 인터넷 품질측정시스템(Support) 개발 유지보수,2023.04.05,2024.04.04,ITO,"54,000,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,2023년 5G NMS  개발유지보수,2023.04.01,2024.03.31,ITO,"2,648,600,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,2023년 통합NMS 유선분야 개발 유지보수,2023.04.01,2024.09.02,ITO,"2,141,445,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,2023년 공동망 관리시스템 고도화,2023.07.01,2024.02.29,SI,"180,000,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,ALL-in-Safety 플랫폼 기능 고도화,2023.07.10,2024.02.29,ITO,"316,000,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,2023 NeMO 개발유지보수,2023.10.13,2024.03.31,ITO,"71,900,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,신인증 중개 GW 마이그레이션,2023.11.22,2024.04.30,SI,"115,000,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,통합NMS 데이터 연동 구조 개선을 위한 고도화 개발 (2차),2023.12.27,2024.08.30,SI,"379,180,000",네트워크IT개발팀,주식회사 케이티
네트워크IT개발팀,2023년 기지국 전력제어 Orchestrator 구축 1단계,2024.01.08,2024.05.14,SI,"143,000,000",네트워크IT개발팀,주식회사 케이티
인프라매니지드팀,비씨카드 IT 통합유지보수,2022.01.01,2024.12.31,ITO,"27,285,427,273",금융영업2팀,비씨카드(주)
인프라매니지드팀,kt alpha 23년 케이티알파 쇼핑 차세대시스템 S/W 유지보수,2023.01.01,2024.01.31,ITO,"83,314,463",그룹영업팀,주식회사 케이티알파
인프라매니지드팀,kt alpha 2023년 쇼핑 차세대시스템 H/W 및 S/W 유지보수,2023.02.01,2024.01.31,ITO,"398,027,900",그룹영업팀,주식회사 케이티알파
인프라매니지드팀,"kt sports 2023년도 네트워크 및 DRM, DLP 유지보수",2023.02.01,2024.01.31,ITO,"20,598,000",그룹영업팀,주식회사 케이티스포츠
인프라매니지드팀,kt sports 2023년도 보안솔루션 유지보수,2023.02.01,2024.01.31,ITO,"16,170,000",그룹영업팀,주식회사 케이티스포츠
인프라매니지드팀,SBI저축은행 오라클 및 DB 접근제어 MA 사업,2023.02.01,2024.01.31,ITO,"649,479,000",공공영업팀,유니원아이앤씨(주)
인프라매니지드팀,23년 kt전사 MA,2023.04.01,2024.03.31,ITO,"40,618,646,900",인프라매니지드팀,주식회사 케이티
인프라매니지드팀,케이뱅크 2023년 정보계 솔루션 통합 운영/유지보수_MA,2023.02.04,2024.02.03,ITO,"291,090,909",금융영업2팀,주식회사 케이뱅크
인프라매니지드팀,kt cloud 2023년도 통합 유지보수,2023.04.01,2024.03.31,ITO,"14,574,567,800",그룹영업팀,(주)케이티클라우드
인프라매니지드팀,비씨카드 IT 통합유지보수(DBMS)_오라클,2023.08.01,2026.07.31,IT 자산공급,"8,097,272,727",금융영업2팀,비씨카드(주)
인프라매니지드팀,비씨카드 회계관리시스템(SAP) 통합유지보수 계약,2023.10.16,2026.12.31,ITO,"392,500,000",금융영업2팀,비씨카드(주)
인프라매니지드팀,지니뮤직 2024년도 IT인프라 운영_IMO,2024.01.01,2024.12.31,ITO,"1,445,000,000",그룹영업팀,(주) 지니뮤직
인프라매니지드팀,코오롱 IDC ITO 시스템 운영_3년차,2024.01.01,2024.12.31,ITO,"831,942,000",전략영업팀,주식회사 케이티
인프라매니지드팀,kt M mobile 2024년도 통합유지보수_IT,2024.01.01,2024.12.31,ITO,"160,660,000",그룹영업팀,주식회사 케이티엠모바일
인프라매니지드팀,kt M mobile 2024년도 통합유지보수_보안,2024.01.01,2024.12.31,ITO,"82,730,000",그룹영업팀,주식회사 케이티엠모바일
인프라매니지드팀,"세라젬 네트워크, 보안, 통신장비 MA서비스",2023.11.04,2024.11.03,ITO,"85,816,000",유통영업팀,(주)세라젬
인프라매니지드팀,세라젬 S/W MA 서비스,2023.11.04,2024.11.03,ITO,"376,112,000",유통영업팀,(주)세라젬
인프라매니지드팀,플레이디 2024년도 통합유지보수,2024.01.01,2024.12.31,ITO,"309,340,000",그룹영업팀,주식회사 플레이디
인프라매니지드팀,"아이디스파워텔 24년 영업전산ERP상용SW구매,그룹웨어SSO계정관리_MA",2024.01.01,2024.12.31,ITO,"193,199,000",그룹영업팀,아이디스파워텔 주식회사
인프라매니지드팀,"kt service 남부 2024년 ERP, 그룹웨어, 통합인증 유지보수",2024.01.01,2024.12.31,ITO,"102,580,000",그룹영업팀,주식회사 케이티서비스남부
인프라매니지드팀,케이뱅크 2024년도 IT인프라 운영 유지보수,2024.01.01,2024.12.31,ITO,"1,839,818,182",금융영업1팀,주식회사 케이뱅크
인프라매니지드팀,kt sports 2024년도 보안솔루션 유지보수,2024.02.01,2025.01.31,ITO,"16,170,000",그룹영업팀,주식회사 케이티스포츠
인프라매니지드팀,"kt sports 2024년도 네트워크 및 DRM, DLP 유지보수",2024.02.01,2025.01.31,ITO,"20,598,000",그룹영업팀,주식회사 케이티스포츠
인프라매니지드팀,kt m&s 오라클DB자산화 계약,2024.01.18,2024.02.28,IT 자산공급,"21,000,000",그룹영업팀,(주)케이티엠앤에스
인프라매니지드팀,kt alpha 2024년도 쇼핑 차세대시스템 H/W 및 S/W 유지보수,2024.02.01,2025.01.31,ITO,"471,520,000",그룹영업팀,주식회사 케이티알파
CV사업개발본부지원,'24년 CV사업개발본부장 활동비용,2024.01.01,2024.12.31,SI,,CV사업개발본부지원,주식회사 케이티
CV사업기획팀,'24년 CV사업개발본부 활동비용,2024.01.01,2024.12.31,SI,,CV사업기획팀,주식회사 케이티
결제플랫폼팀,콘텐츠페이 앱 UI/UX 리뉴얼,2023.12.01,2024.06.28,SI,"286,400,000",결제플랫폼팀,주식회사 케이티
결제플랫폼팀,2023년 AI-BPO BM 전산화 비즈나루 개발,2024.01.05,2024.04.15,SI,"139,000,000",결제플랫폼팀,주식회사 케이티
결제플랫폼팀,2024년 비즈메카 EZ 기능개선 및 유지보수,2024.01.31,2025.01.30,ITO,"720,000,000",결제플랫폼팀,주식회사 케이티
결제플랫폼팀,비즈메카 EZ 유지보수,2023.01.28,2024.01.27,ITO,"701,000,000",결제플랫폼팀,주식회사 케이티
경영기획총괄지원,'24년 경영기획총괄 활동비용,2024.01.01,2024.12.31,SI,,경영기획총괄지원,주식회사 케이티
경영기획팀,'24년 대표이사 활동비용,2024.01.01,2024.12.31,SI,,경영기획팀,주식회사 케이티
경영인프라팀,2023년 사내시스템 인프라운영,2023.01.01,2024.02.29,SI,,경영인프라팀,주식회사 케이티
경영인프라팀,2023년 그룹메일2.0 서비스 이용료(IO),2023.01.01,2024.02.29,SI,,경영인프라팀,주식회사 케이티
고객개발1팀,개인정보 마스킹해제 시 SMS발송 및 고객조회 우회루트 차단,2023.11.06,2024.06.30,SI,"873,000,000",고객개발1팀,주식회사 케이티
고객개발2팀,ICIS TR LE 2단계 본 구축,2023.12.01,2024.04.20,SI,"4,202,400,000",고객개발2팀,주식회사 케이티
고객개발2팀,보편 대개체를 위한 VoIP only 상품 개발,2023.12.13,2024.04.30,SI,"163,210,000",고객개발2팀,주식회사 케이티
고객개발2팀,2023년 통신범죄 대응 시스템 고도화,2024.01.10,2024.07.31,SI,"413,000,000",고객개발2팀,주식회사 케이티
고객인프라팀,2023년 사내시스템 EAI운영,2023.01.01,2024.02.29,SI,,고객인프라팀,주식회사 케이티
고객DX솔루션팀,K-VaRam 고도화 2차,2022.04.18,2024.10.31,SI,,고객DX솔루션팀,주식회사 케이티
